emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
😂,0.27235772357723576,1148,0.6153444676409185,0.12578288100208768,0.2588726513569937,0.018292682926829267,0.3597560975609756,0.25261324041811845,0.21602787456445993,0.01132404181184669,0.03397212543554007,0.10801393728222997,0.04360437097620641
😭,-0.15669515669515668,936,0.23050139275766016,0.536908077994429,0.23259052924791088,0.01282051282051282,0.11217948717948718,0.09081196581196581,0.17841880341880342,0.03952991452991453,0.1388888888888889,0.42735042735042733,0.04864803281443448
😍,0.576594345825115,507,0.8729388942774006,0.02230843840931135,0.10475266731328807,0.25443786982248523,0.40236686390532544,0.20710059171597633,0.10650887573964497,0.0019723865877712033,0.011834319526627219,0.015779092702169626,0.06338444655871864
🙏,0.4879725085910652,388,0.8125,0.07291666666666667,0.11458333333333333,0.18298969072164947,0.4484536082474227,0.16237113402061856,0.1134020618556701,0.007731958762886598,0.03608247422680412,0.04896907216494845,0.07369163599457927
😅,0.17075386012715713,367,0.47560975609756095,0.1480836236933798,0.37630662020905925,0.04632152588555858,0.1335149863760218,0.33787465940054495,0.29427792915531337,0.005449591280653951,0.0326975476839237,0.14986376021798364,0.0781155824303664
😘,0.621160409556314,293,0.9055374592833876,0.016286644951140065,0.0781758957654723,0.3174061433447099,0.36860068259385664,0.20819112627986347,0.08191126279863481,0.0,0.010238907849829351,0.013651877133105802,0.08253007992968726
😊,0.5,280,0.84375,0.0234375,0.1328125,0.08571428571428572,0.5214285714285715,0.24285714285714285,0.12142857142857143,0.0,0.014285714285714285,0.014285714285714285,0.07887145751180107
❤️,0.5129198966408268,258,0.8403193612774451,0.04790419161676647,0.11177644710578842,0.22868217054263565,0.34108527131782945,0.26356589147286824,0.10852713178294573,0.007751937984496124,0.01937984496124031,0.031007751937984496,0.0922009857827636
🙄,-0.27694859038142616,201,0.10610932475884244,0.6430868167202572,0.2508038585209003,0.009950248756218905,0.04477611940298507,0.04477611940298507,0.19402985074626866,0.03980099502487562,0.208955223880597,0.4577114427860697,0.09989821319510567
🥺,0.13644214162348878,193,0.46567164179104475,0.2298507462686567,0.3044776119402985,0.06217616580310881,0.22797927461139897,0.16580310880829016,0.26424870466321243,0.025906735751295335,0.06735751295336788,0.18652849740932642,0.11453089023240574
💜,0.5263157894736842,190,0.8218085106382979,0.023936170212765957,0.15425531914893617,0.16842105263157894,0.4789473684210526,0.1631578947368421,0.15263157894736842,0.005263157894736842,0.0,0.031578947368421054,0.10133218095856869
🤣,0.25627240143369173,186,0.6198083067092651,0.16293929712460065,0.21725239616613418,0.03225806451612903,0.3602150537634409,0.22580645161290322,0.1827956989247312,0.010752688172043012,0.053763440860215055,0.13440860215053763,0.11110254418531568
